title,company,location,job_desc,date_posted,date_scrapped,salary,website,word_desc
Life Sciences & Healthcare: Senior Manager - Actuarial & Analytical Solutions (A&AS),Deloitte,"Midrand, Johannesburg","Company Description   About Deloitte:   Deloitte is a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax and related services. Our g…",1 day ago,2022-05-08,,careerjet,company description deloitte deloitte lead global provider audit assurance consult financial advisory risk advisory tax relate service …
"Consultant, Data Science and Analytics",TransUnion,"Johannesburg, Gauteng","What We'll Bring: At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation we're consistently exploring new technologies and tools …",17 days ago,2022-05-08,,careerjet,well bring transunion welcoming energetic environment encourage collaboration innovation consistently explore new technology tool …
Data Science - Cape Town & Johannesburg,Capitec Bank,"Stellenbosch, Western Cape","Join Us in Becoming the Best Bank in the World!   We appoint people for their potential and continuously look for talented, driven individuals to help us innovate and evolve the ba…",30 days ago,2022-05-08,,careerjet,join u become best bank world appoint people potential continuously look talented driven individual help u innovate evolve ba…
AWS Data Science Architect (Contract) Midrand/Menlyn/Rosslyn/Home Office rotation - ISB2102000,iSanqa Resourcing,"Midrand, Johannesburg",AWS Data Science Architect (Contract) Midrand/Menlyn/Rosslyn/Home Office rotation - ISB2102000   About the job AWS Data Science Architect (Contract) Midrand/Menlyn/Rosslyn/Home Off…,23 days ago,2022-05-08,,careerjet,aws data architect contract midrand menlyn rosslyn home office rotation isb2102000 job aws data architect contract midrand menlyn rosslyn home off…
Data Science Team Lead,HR Studio,"Edgemead, Cape Town","We're looking for…   A Data Science Team Lead to provide support for technical and scientific queries, to guide and mentor the team on their continuous professional development jou…",60 days ago,2022-05-08,,careerjet,look … data team lead provide support technical scientific query guide mentor team continuous professional development jou…
AWS Data Science Architect – Semi Remote – R742 Per hour,e-Merge IT Recruitment,"Pretoria, Gauteng",Our international manufacturing client with head offices based in the Midrand area is on the hunt for an exceptional AWS Data Science Architect to join their dynamic team.   In thi…,14 days ago,2022-05-08,619742.0,careerjet,international manufacturing client head office base midrand area hunt exceptional aws data architect join dynamic team thi…
"2022 Graduate - Data Science Associate, Agribusiness Intelligence (Cape Town)",IHS Markit,"Cape Town, Western Cape","Company & Team – “About Us”   Agri at IHS Markit is modernizing its analytics infrastructure. We are developing automated data collection, migrating our data and operations to the …",60 days ago,2022-05-08,,careerjet,company team – “ u ” agri ihs markit modernize analytics infrastructure develop automate data collection migrate data operation …
Data science manager,Communicate Recruitment,"Johannesburg, Gauteng",*Reference: CPM008305-THa-2*   Our client in financial services is seeking a Data Science Manager to join their fast paces and ever growing team!  *Qualifications*    BSc/ BSc hono…,22 days ago,2022-05-08,620000.0,careerjet,reference cpm008305 tha 2 client financial service seek data manager join fast pace ever grow team qualification bsc bsc hono…
Data science manager,Communicate Recruitment,"Johannesburg, Gauteng",*Reference: CPM008305-RMo-1*   Our client in financial services is seeking a Data Science Manager to join their fast paces and ever growing team!  *Qualifications*    BSc/ BSc hono…,22 days ago,2022-05-08,620000.0,careerjet,reference cpm008305 rmo 1 client financial service seek data manager join fast pace ever grow team qualification bsc bsc hono…
Data science manager,Communicate Recruitment,"Johannesburg, Gauteng",Qualifications   BSc/ BSc honours: Computational/ Applied Mathematics/ Statistics    Tools   Python  SQL  PowerBI  AWS  SAS    Description   Stakeholder engagement and expectation …,23 days ago,2022-05-08,620000.0,careerjet,qualification bsc bsc honour computational applied mathematics statistic tool python sql powerbi aws sas description stakeholder engagement expectation …
Junior Financial Data Analyst Stellenbosch,Burgiss Group,South Africa,"In this role you will be responsible for the identification, aggregation and reporting of private equity fund transactional data as well as private company characteristics and fina…",Not specified,2022-05-08,,careerjet,role responsible identification aggregation reporting private equity fund transactional data well private company characteristic fina…
Junior Data Analyst (Pretoria) 15 000 - 35 000 depending on qualifications and ex,CA Recruitment (Pty) Ltd.,"Pretoria, Gauteng","This role will provide Data Quality oversight in the form of data error detection, correction and prevention.   The Data  Analyst will monitor data collected, stored, transformed a…",1 day ago,2022-05-08,150003.0,careerjet,role provide data quality oversight form data error detection correction prevention data analyst monitor data collect store transformed …
Junior Data Analyst Pretoria,CA Recruitment (Pty) Ltd.,"Pretoria, Gauteng","This role will provide Data Quality oversight in the form of data error detection, correction and prevention.   The Data  Analyst will monitor data collected, stored, transformed a…",1 day ago,2022-05-08,150003.0,careerjet,role provide data quality oversight form data error detection correction prevention data analyst monitor data collect store transformed …
Digital Data Analyst,99c,Western Cape,Description   This is a great opportunity for a suitably qualified and experienced Digital Data Analyst who wants to flex their muscles on some of the most established brands in So…,Not specified,2022-05-08,,careerjet,description great opportunity suitably qualify experienced digital data analyst want flex muscle established brand so…
Data Transformation Analyst,IHS Markit,South Africa,About Us   S&P Global is the leading source of information and insight in critical areas that shape today's business landscape. Customers around the world rely on us to address str…,Not specified,2022-05-08,,careerjet,u sp global lead source information insight critical area shape today business landscape customer around world rely u address str…
"Junior sales analyst, sales data analyst, junior data analyst",Smart Network,"Sandton, Johannesburg","Financial analytical individual to join a vibrant team   BI Tools – Design Dashboards/Charts/Custom Reports    Financial background – Understanding of Debtors, Creditors, Inventory…",3 days ago,2022-05-08,,careerjet,financial analytical individual join vibrant team bi tool – design dashboard chart custom report financial background – understanding debtor creditor inventory…
Junior Data Analyst,BDO,"Durban, KwaZulu-Natal","Junior Data Analyst   Company BDO South Africa  Reference # ITCE  Published 28/04/2022  Contract Type Permanent  Salary Market Related  Location Durban, KwaZulu-Natal, South Africa…",8 days ago,2022-05-08,,careerjet,junior data analyst company bdo south africa reference itce publish 28 04 2022 contract type permanent salary market relate location durban kwazulu natal south africa…
Junior Global Property Analyst,Finovate People,"Bellville, Cape Town",Junior Global Property Analyst   Our client believes the appointment of a Junior Research Analyst with appropriate experience and qualifications will allow it to support the future…,Not specified,2022-05-08,,careerjet,junior global property analyst client believe appointment junior research analyst appropriate experience qualification allow support future…
Junior Data Analyst,Takealot,"Cape Town, Western Cape","takealot.com, a leading South African online retailer, is looking for a highly talented Junior Data Analyst to join our team in Cape Town.   We're a young, dynamic, hyper growth co…",23 days ago,2022-05-08,,careerjet,takealotcom lead south african online retailer look highly talented junior data analyst join team cape town young dynamic hyper growth co…
Junior Data Analyst,Shoprite Holdings,"Brackenfell, Cape Town","ShopriteX has been established to accelerate the use of data in improving customer experience and business operations. We have been set up to work in an agile way, with centres of …",30 days ago,2022-05-08,,careerjet,shopritex establish accelerate use data improve customer experience business operation set work agile way centre …
Junior Data Analyst (Insurance) - FinChoice,HomeChoice,Western Cape,"We’re an innovative digital financial service provider who specializes in fast, flexible loans and funeral cover policies. Our aim is to become a favorite financial service provide…",30 days ago,2022-05-08,,careerjet,’ innovative digital financial service provider specialize fast flexible loan funeral cover policy aim become favorite financial service provide…
Junior Financial Analyst (Financial and Data Analytics),Network Recruitment,"Johannesburg, Gauteng","If you are a number cruncher who knows how to bridge the gap between business and financial systems, detailed and have fine-tuned business analysis skills, then this one is for you…",30 days ago,2022-05-08,300000.0,careerjet,number cruncher know bridge gap business financial system detail fine tune business analysis skill one you…
"Junior Gamemaster/Administrator, Data Analyst, BI Analysts",Diphetogo Consulting,"Johannesburg, Gauteng","Main Purpose of Role:   Responsible for organizing, planning, reporting and administrating of all games, monitoring normalisation engine ratios along with other Enterprise Managers…",60 days ago,2022-05-08,,careerjet,main purpose role responsible organize plan reporting administrating game monitor normalisation engine ratio along enterprise managers…
Junior Sales / Data Analyst,Smart Network,"Sandton, Johannesburg","Financial analytical individual to join a vibrant team   BI Tools – Design Dashboards/Charts/Custom Reports    Financial background – Understanding of Debtors, Creditors, Inventory…",21 days ago,2022-05-08,,careerjet,financial analytical individual join vibrant team bi tool – design dashboard chart custom report financial background – understanding debtor creditor inventory…
Data Analyst - Industrial Engineer - Boksburg,Complement Recruitment,"Johannesburg, Gauteng","Data Analyst Continuous Improvement Officer - Gauteng   Salary: Market Related, Permanent   Purpose of Position:   Complement Recruitment are recruiting for an Industrial Engineer …",1 day ago,2022-05-08,,careerjet,data analyst continuous improvement officer gauteng salary market related permanent purpose position complement recruitment recruit industrial engineer …
Quantitative Master Data Analyst,FirstRand,"Johannesburg, Gauteng","Quantitative Master Data Analyst - IRC220110   at 1 Merchant Place, Sandton, Johannesburg, Gauteng, South Africa in BGE - GM D&D- Data Services  Ends 10 May 2022   About us, purpos…",3 days ago,2022-05-08,,careerjet,quantitative master data analyst irc220110 1 merchant place sandton johannesburg gauteng south africa bge gm dd data service end 10 may 2022 u purpos…
Quantitative Analyst C1,FirstRand,"Cape Town, Western Cape","Quantitative Analyst C1 - IRC218586   at DirectAxis Campus, Cape Town, Western Cape, South Africa in DA Sanlam  Ends 09 May 2022   About us, purpose, experience and qualifications …",3 days ago,2022-05-08,,careerjet,quantitative analyst c1 irc218586 directaxis campus cape town western cape south africa da sanlam end 09 may 2022 u purpose experience qualification …
Quantitative Analyst - CARD Market related,Naruti People Solutions,Gauteng,"*Banking*   *Role Purpose*    To plan, build, optimize and implement innovative quantitative analytical methodologies, procedures, products and advanced mathematical models that pr…",2 days ago,2022-05-08,,careerjet,banking role purpose plan build optimize implement innovative quantitative analytical methodology procedure product advanced mathematical model pr…
Quantitative Analyst Gauteng,Naruti People Solutions,Gauteng,"*Banking*   *Role Purpose*    To plan, build, optimize and implement innovative quantitative analytical methodologies, procedures, products and advanced mathematical models that pr…",2 days ago,2022-05-08,,careerjet,banking role purpose plan build optimize implement innovative quantitative analytical methodology procedure product advanced mathematical model pr…
Quantitative investment analyst,Theo Smit Recruitment (Pty) Ltd,"Parktown, Johannesburg","Leading and growing asset management & investment solutions concern, wholly owned by a large financial services group with a global footprint, have an exciting career opportunity f…",3 days ago,2022-05-08,500000.0,careerjet,lead grow asset management investment solution concern wholly large financial service group global footprint exciting career opportunity f…
Junior Quantitative Analyst,Old Mutual,"Johannesburg, Gauteng","Your time is now to be your exceptional best at Old Mutual!   Job Description   The Team   The GBSM Quantitative Analytics team is focused on identifying, measuring, and mitigating…",7 days ago,2022-05-08,,careerjet,time exceptional best old mutual job description team gbsm quantitative analytics team focus identify measuring mitigating…
"Analyst pricing, quantitative analyst",Communicate Recruitment,"Centurion, Gauteng",*Reference: CPM008302-NS-1*   Our client in Financial Services is seeking a strong Quantitative Analyst Pricing to join their ever growing team!  *Qualifications*    BSc/ BSc honou…,3 days ago,2022-05-08,650000.0,careerjet,reference cpm008302 ns 1 client financial service seek strong quantitative analyst pricing join ever grow team qualification bsc bsc honou…
Quantitative analyst,Communicate Recruitment,"Johannesburg, Gauteng",*Reference: CPM008252-NS-1*   A large multinational entity with global operations is seeking a strong and strategic Quantitative Analyst to join their fast paced and ever growing t…,3 days ago,2022-05-08,500000.0,careerjet,reference cpm008252 ns 1 large multinational entity global operation seek strong strategic quantitative analyst join fast pace ever grow t…
Quantitative analyst,Tradam Transformation Solutions,"Johannesburg, Gauteng","*Reference: JHB000054-Njay-1*   *An exciting opportunity for an enthusiastic Quant Analyst exists for our client, a South African-based asset management business. That offers a ran…",3 days ago,2022-05-08,450000.0,careerjet,reference jhb000054 njay 1 exciting opportunity enthusiastic quant analyst exists client south african base asset management business offer ran…
"Quantitative analyst, systems analyst",talentCru,"Centurion, Gauteng",TalentCru  Exciting opportunty! EE Position. A fast growing financial services company is seeking to employ a System Quantitative Analyst to join dynamic team in Centurion   Duties…,3 days ago,2022-05-08,,careerjet,talentcru excite opportunty ee position fast grow financial service company seek employ system quantitative analyst join dynamic team centurion duties…
Quantitative analyst,talentCru,"Centurion, Gauteng",TalentCru  New opportunity! EE Position! A fast growing financial services company is requiring your dyanamic skill to be e mployed as Quantitative Liquidity Risk Analyst. Role pur…,3 days ago,2022-05-08,,careerjet,talentcru new opportunity ee position fast grow financial service company require dyanamic skill e mployed quantitative liquidity risk analyst role pur…
Senior quantitative analyst,Urban Personnel Services Pty (Ltd),"Cape Town, Western Cape","We are seeking to employ an experienced and energetic Senior Quantitative Analyst to build, implement and manage best in class’ methods / processes / models to calculate, quantify …",3 days ago,2022-05-08,,careerjet,seek employ experienced energetic senior quantitative analyst build implement manage best class ’ method process model calculate quantify …
Quantitative analyst,CSG Recruit,"Johannesburg, Gauteng","My client in the financial services sector has an opportinuty available for a Quantitative Analyst.   Develop, enhance, integrate, automate and maintain various investment database…",3 days ago,2022-05-08,,careerjet,client financial service sector opportinuty available quantitative analyst develop enhance integrate automate maintain various investment database…
"Quantitative specialist, quantitative analyst",Network Recruitment - Pretoria Finance A,"Johannesburg, Gauteng",*Reference: NFP010900-ASl-1*   Here is the change to add value to the Pricing analytics in a Bank  Job & Company Description:  This is a leading bank with a global footprint which …,3 days ago,2022-05-08,,careerjet,reference nfp010900 asl 1 change add value pricing analytics bank job company description lead bank global footprint …
Quantitative analyst,Armstrong Appointments,"Johannesburg, Gauteng",*Main job function *    Verify investment data and maintain accuracy of data on asset management system/s. This is a day-to-day responsibility (using HiPort & Stat Pro)  Portfolio …,3 days ago,2022-05-08,,careerjet,main job function verify investment data maintain accuracy data asset management system day day responsibility use hiport stat pro portfolio …
"Quantitative analyst, analyst investments",Naruti People Solutions,Gauteng,"*Banking*   *Role Purpose*    To plan, build, optimise and implement innovative quantitative analytical methodologies, procedures, products and advanced mathematical models that pr…",3 days ago,2022-05-08,,careerjet,banking role purpose plan build optimise implement innovative quantitative analytical methodology procedure product advanced mathematical model pr…
Quantitative Analyst,Nedbank,"Johannesburg, Gauteng",To contribute to the development and maintenance of best practice models and assessment strategies in line with regulations (where applicable) in order to facilitate world class ri…,9 days ago,2022-05-08,,careerjet,contribute development maintenance best practice model assessment strategy line regulation applicable order facilitate world class ri…
Senior Quantitative Analyst,Nedbank,"Johannesburg, Gauteng",Requisition Details & Talent Acquisition Contact   REQ 116863- Tshego Semenya   Career Stream   Quantitative   Leadership Pipeline   Manage Self: Professional   Position   Senior Q…,9 days ago,2022-05-08,,careerjet,requisition detail talent acquisition contact req 116863 tshego semenya career stream quantitative leadership pipeline manage self professional position senior q…
Quantitative Analyst,Nedbank,"Johannesburg, Gauteng",Requisition Details & Talent Acquisition Contact   113061 - Debbie Fuyani   Location   JHB - Sandown   Cluster   Nedbank Group Risk   Career Stream   Quantitative   Leadership Pipe…,9 days ago,2022-05-08,,careerjet,requisition detail talent acquisition contact 113061 debbie fuyani location jhb sandown cluster nedbank group risk career stream quantitative leadership pipe…
Senior Quantitative Analyst,Nedbank,"Johannesburg, Gauteng",To develop and maintain best practice models and assessment strategies in line with regulations (where applicable) in order to facilitate world class risk management and/or attainm…,9 days ago,2022-05-08,,careerjet,develop maintain best practice model assessment strategy line regulation applicable order facilitate world class risk management attainm…
Senior Manager: Data Science – Remote – Offering Competitive Salary,e-Merge IT Recruitment,"Johannesburg, Gauteng","A leading Telecommunications group that has built an unsurpassed footprint of copper, fibre and wireless technologies in the country is on the search for Senior Manager: Data Scien…",30 days ago,2022-05-08,,careerjet,leading telecommunication group build unsurpassed footprint copper fibre wireless technology country search senior manager data scien…
Data Scientist (Remote) at Parvana Recruitment,Parvana Strategic Sourcing,"Cape Town, Western Cape","About the position   This is a remote position.   Client Details:   Probably one of the most dynamic and fastest growing local organisations with a strong social conscience, this c…",Not specified,2022-05-08,,careerjet,position remote position client detail probably one dynamic fast grow local organisation strong social conscience c…
TJ 405099 - SENIOR DATA SCIENTIST (REMOTE),Professional Career Services,"Johannesburg, Gauteng","Employer Description   A last-mile delivery platform and app for On-Demand and Logistics clients. Our platform; comprising of a Management Console, Driver App and embedded Customer…",1 day ago,2022-05-08,,careerjet,employer description last mile delivery platform app demand logistics client platform comprising management console driver app embed customer…
TJ 405099 - SENIOR DATA SCIENTIST (REMOTE) Market Related,Professional Career Services - Gauteng,Gauteng,*Ref: TJ 405099 - SENIOR DATA SCIENTIST (REMOTE)*  *Employer Description*  A last-mile delivery platform and app for On-Demand and Logistics clients.  Our platform; comprising of a…,1 day ago,2022-05-08,,careerjet,ref tj 405099 senior data scientist remote employer description last mile delivery platform app demand logistics client platform comprising …
UK Curriculum | IGCSE Computer Science Teacher,Valenture Institute,"Cape Town, Western Cape","The Teacher role is primarily responsible for working alongside the Senior Teacher to motivate, inspire and empower their students with high-quality individual and group instructio…",30 days ago,2022-05-08,,careerjet,teacher role primarily responsible work alongside senior teacher motivate inspire empower student high quality individual group instructio…
UK Curriculum | Science Senior Teacher,Valenture Institute,"Cape Town, Western Cape",The Senior Teacher role is primarily responsible for ensuring that the teachers in their subject area deliver high-quality educational experiences. While this role is not a people-…,30 days ago,2022-05-08,,careerjet,senior teacher role primarily responsible ensure teacher subject area deliver high quality educational experience role people …
UK Curriculum | Science Teacher,Valenture Institute,"Cape Town, Western Cape","The Teacher role is primarily responsible for working alongside the Senior Teacher to motivate, inspire and empower their students with high-quality individual and group instructio…",30 days ago,2022-05-08,,careerjet,teacher role primarily responsible work alongside senior teacher motivate inspire empower student high quality individual group instructio…
UK Curriculum | IGCSE Computer Science Senior Teacher,Valenture Institute,"Cape Town, Western Cape",The Senior Teacher role is primarily responsible for ensuring that the teachers in their subject area deliver high-quality educational experiences. While this role is not a people-…,30 days ago,2022-05-08,,careerjet,senior teacher role primarily responsible ensure teacher subject area deliver high quality educational experience role people …
UK Curriculum | Senior Physical Science Teacher (International GCSE),Valenture Institute,"Cape Town, Western Cape",The Senior Teacher role is primarily responsible for ensuring that the teachers in their subject area deliver high-quality educational experiences. While this role is not a people-…,30 days ago,2022-05-08,,careerjet,senior teacher role primarily responsible ensure teacher subject area deliver high quality educational experience role people …
UK Curriculum | Physical Science Teacher (International GCSE),Valenture Institute,"Cape Town, Western Cape","The Teacher role is primarily responsible for working alongside the Senior Teacher to motivate, inspire and empower their students with high-quality individual and group instructio…",30 days ago,2022-05-08,,careerjet,teacher role primarily responsible work alongside senior teacher motivate inspire empower student high quality individual group instructio…
UCT Online High School | Physical Sciences Teacher (Substitute Teacher),Valenture Institute,"Cape Town, Western Cape",Valenture Institute partners with the world’s leading education institutions to transform physical limitations into digital opportunities. We create new opportunities for students …,30 days ago,2022-05-08,,careerjet,valenture institute partner world ’ lead education institution transform physical limitation digital opportunity create new opportunity student …
IGCSE Computer Science Senior Teacher,None,"Cape Town, Western Cape",IGCSE Computer Science Senior Teacher   UK Curriculum   DESCRIPTION   The Senior Teacher role is primarily responsible for ensuring that the teachers in their subject area deliver …,14 days ago,2022-05-08,,careerjet,igcse computer senior teacher uk curriculum description senior teacher role primarily responsible ensure teacher subject area deliver …
Science Senior Teacher,None,"Cape Town, Western Cape",Science Senior Teacher   UK Curriculum   DESCRIPTION   The Senior Teacher role is primarily responsible for ensuring that the teachers in their subject area deliver high-quality ed…,14 days ago,2022-05-08,,careerjet,senior teacher uk curriculum description senior teacher role primarily responsible ensure teacher subject area deliver high quality ed…
Senior Physical Science Teacher,None,"Cape Town, Western Cape",Senior Physical Science Teacher   UK Curriculum | International GCSE   DESCRIPTION   The Senior Teacher role is primarily responsible for ensuring that the teachers in their subjec…,14 days ago,2022-05-08,,careerjet,senior physical teacher uk curriculum international gcse description senior teacher role primarily responsible ensure teacher subjec…
Data Scientist (Remote) Market related,Parvana Strategic Sourcing,"Cape Town, Western Cape","Parvana Strategic Sourcing has established itself as a leading provider of permanent and temporary recruitment services to the South African, European and UK marketplace. In additi…",3 days ago,2022-05-08,,careerjet,parvana strategic sourcing establish lead provider permanent temporary recruitment service south african european uk marketplace additi…
Physical Science Teacher: International GCSE,None,"Cape Town, Western Cape","Physical Science Teacher   UK Curriculum | International GCSE   DESCRIPTION   The Teacher role is primarily responsible for working alongside the Senior Teacher to motivate, inspir…",15 days ago,2022-05-08,,careerjet,physical teacher uk curriculum international gcse description teacher role primarily responsible work alongside senior teacher motivate inspir…
Junior Data Engineer,JUMO,South Africa,"About this job   As a JUMO Data Engineer, you'll help contribute to our mission of financial inclusion by extracting maximum predictive value from data assets. This position will r…",Not specified,2022-05-08,,careerjet,job jumo data engineer youll help contribute mission financial inclusion extract maximum predictive value data asset position r…
Junior - Intermediate Data Engineer - AWS,PBT Group,"Johannesburg, Gauteng","Duties:   Plan and analyse complex business requirements and implement technology enabled solutions to address multi-discipline business opportunities/problems.  Conduct planning, …",30 days ago,2022-05-08,,careerjet,duty plan analyse complex business requirement implement technology enable solution address multi discipline business opportunity problem conduct plan …
Junior - Intermediate AWS Data Engineer,PBT Group,"Johannesburg, Gauteng","Duties:   Plan and analyse complex business requirements and implement technology enabled solutions to address multi-discipline business opportunities/problems.  Conduct planning, …",30 days ago,2022-05-08,,careerjet,duty plan analyse complex business requirement implement technology enable solution address multi discipline business opportunity problem conduct plan …
Software Engineer: MATLAB / Simulink : Junior,E and D Recruiters,"Cape Town, Western Cape",*Reference: Pta002310-EP-4*   Junior Software developer - MATLAB and SIMULINK skills require for international Company . Design/ development hub in Cape Town. Software Engineer req…,Not specified,2022-05-08,,careerjet,reference pta002310 ep 4 junior software developer matlab simulink skill require international company design development hub cape town software engineer req…
Junior Systems/DevOps Engineer,Datafin,"Cape Town, Western Cape","A dynamic Education Specialist based in Cape Town seeks an ambitious Junior Systems/DevOps Engineer with a strong aptitude for IT solutions support, maintenance, and operations. Yo…",2 days ago,2022-05-08,,careerjet,dynamic education specialist base cape town seek ambitious junior system devops engineer strong aptitude solutions support maintenance operation yo…
"Senior data engineer, azure engineer",e-Merge IT Recruitment,"Sandton, Johannesburg","A company that is committed to ensuring their clients have a significant competitive advantage through the application of practical analytics and smart technologies, is on the hunt…",3 days ago,2022-05-08,,careerjet,company commit ensure client significant competitive advantage application practical analytics smart technology hunt…
"Data developer, data engineer, analytics developer",QE Services,"Bellville, Cape Town",My client based in Cape Town (Northern Suburbs) is currently looking for a Data Engineer and Analytics Developer to join them on an independent contract basis   IT   *All applicant…,3 days ago,2022-05-08,,careerjet,client base cape town northern suburb currently look data engineer analytics developer join independent contract basis applicant…
"Data developer, data engineer consultant, data analytics consultant, analytics developer",Emeron,"Cape Town, Western Cape","We are looking for people who are passionate about data and technology solutions, are driven to learn about them and keep up with market evolution. You will play an active role thr…",3 days ago,2022-05-08,,careerjet,look people passionate data technology solution drive learn keep market evolution play active role thr…
"Data developer, data engineer, analytics developer, consul",Recru-IT,"Cape Town, Western Cape","*Reference: PE009536-LM-1*   *Role Purpose:**  *We are looking for people who are passionate about data and technology solutions, are driven to learn about them and keep up with ma…",3 days ago,2022-05-08,,careerjet,reference pe009536 lm 1 role purpose look people passionate data technology solution drive learn keep ma…
Senior data engineer,JMR Software (Pty) Ltd,"Limpopo
      

        
        Johannesburg, Gauteng","You will work within a team solving complex problems to deliver real business value across a wide range of industries such as mining, telco’s, retail and financial services.  You w…",3 days ago,2022-05-08,,careerjet,work within team solve complex problem deliver real business value across wide range industry mining telco ’ retail financial service w…
"Mineral Process Engineer, Junior – Somerset West –",Enshrine Placements,"Somerset West, Cape Town",Job Description:   Our client is looking for a Mineral Process Engineer who will be responsible for providing subject matter and data analysis expertise on mineral processing opera…,2 days ago,2022-05-08,,careerjet,job description client look mineral process engineer responsible provide subject matter data analysis expertise mineral processing opera…
Junior Systems Analyst/Software Implementation Engineer,GloRec,"Cape Town, Western Cape","You will be involved in delivering projects to clients from information gathering, working with a team in designing solutions, solution configuration, system testing, user training…",1 day ago,2022-05-08,,careerjet,involve deliver project client information gather work team design solution solution configuration system test user training…
IT Graduate / Junior Implementation Engineer Negotiable,Top Recruitment,"Cape Town, Western Cape","IT Software House based at the feet of Table Mountain is looking for a Graduate to work as a Solution Implementation Specialists, responsible for interfacing with clients, understa…",1 day ago,2022-05-08,,careerjet,software house base foot table mountain look graduate work solution implementation specialist responsible interfacing client understa…
Junior Systems Engineer Cape Town,Top Recruitment,"Cape Town, Western Cape","IT Software House based at the feet of Table Mountain is looking for a Graduate to work as a Solution Implementation Specialists, responsible for interfacing with clients, understa…",1 day ago,2022-05-08,,careerjet,software house base foot table mountain look graduate work solution implementation specialist responsible interfacing client understa…
Junior Systems Analyst / Implementation Engineer Negotiable,Top Recruitment,"Cape Town, Western Cape","IT Software House based at the feet of Table Mountain is looking for a Graduate to work as a Solution Implementation Specialists, responsible for interfacing with clients, understa…",1 day ago,2022-05-08,,careerjet,software house base foot table mountain look graduate work solution implementation specialist responsible interfacing client understa…
